Produit ID,Nom du produit,Catégorie,Prix
PROD_001,Ecran Pro,Électronique,373.36
PROD_002,ROBE CLASSIQUE,Mode,78.37
PROD_003,ECRAN PRO,Électronique,299.34
PROD_004,Ecran Pro,Électronique,55.91
PROD_005,veste cuir,Mode,285.01
PROD_006,GUIDE VOYAGE,Livres,118.02
PROD_007,manuel math,Livres,406.62
PROD_008,SMARTPHONE MAX,Électronique,352.09
PROD_009,TAPIS SALON,Maison,86.18
PROD_010,lampe led,Maison,55.45
PROD_011,souris eco,Électronique,425.27
PROD_012,MANUEL MATH,Livres,405.49
PROD_013,Gourde Inox,Sport,486.83
PROD_014,Gourde Inox,Sport,280.5
PROD_015,MANUEL MATH,Livres,292.9
PROD_016,Ecran Pro,Électronique,334.02
PROD_017,Lampe LED,Maison,429.11
PROD_018,CASQUE AUDIO,Électronique,146.21
PROD_019,Chaise Bureau,Maison,191.39
PROD_020,jean slim,Mode,353.89
