Identifiant Commande,Date de vente,Produit ID,Quantité vendue,Montant de la vente
CMD_5001,2026-06-07T18:51:00,PROD_009,2,172.36
CMD_5005,2026-06-07T13:18:00,PROD_013,1,486.83
CMD_5006,2026-06-07T18:21:00,PROD_005,4,1140.04
CMD_5007,2026-06-07T16:18:00,PROD_015,3,878.7
CMD_5009,2026-06-07T20:16:00,PROD_017,2,858.22
CMD_5010,2026-06-07T20:24:00,PROD_012,3,1216.47
CMD_5012,2026-06-07T09:12:00,PROD_019,2,382.78
CMD_5017,2026-06-08T13:11:00,PROD_002,2,156.74
CMD_5019,2026-06-08T13:29:00,PROD_014,1,280.5
CMD_5023,2026-06-08T08:44:00,PROD_004,2,111.82
CMD_5033,2026-06-09T12:13:00,PROD_017,3,1287.33
CMD_5036,2026-06-09T10:23:00,PROD_018,3,438.63
CMD_5038,2026-06-09T08:06:00,PROD_009,2,172.36
CMD_5040,2026-06-09T16:16:00,PROD_005,2,-570.02
CMD_5041,2026-06-09T14:00:00,PROD_010,2,110.9
CMD_5042,2026-06-09T13:58:00,PROD_004,2,111.82
CMD_5049,2026-06-10T13:58:00,PROD_014,1,280.5
CMD_5052,2026-06-10T17:25:00,PROD_011,3,1275.81
CMD_5054,2026-06-10T19:01:00,PROD_013,1,486.83
CMD_5055,2026-06-10T11:41:00,PROD_010,4,221.8
CMD_5056,2026-06-10T16:36:00,PROD_007,3,1219.86
CMD_5060,2026-06-10T20:59:00,PROD_001,2,746.72
CMD_5063,2026-06-11T15:26:00,PROD_016,4,1336.08
CMD_5068,2026-06-11T15:03:00,PROD_014,4,1122.0
CMD_5069,2026-06-11T13:31:00,PROD_001,2,746.72
CMD_5071,2026-06-11T19:18:00,PROD_013,1,486.83
CMD_5077,2026-06-12T10:44:00,PROD_008,3,1056.27
CMD_5078,2026-06-12T17:42:00,PROD_006,3,354.06
CMD_5081,2026-06-12T20:20:00,PROD_020,4,1415.56
CMD_5082,2026-06-12T09:37:00,PROD_012,1,405.49
CMD_5089,2026-06-12T17:00:00,PROD_016,4,1336.08
CMD_5091,2026-06-13T12:24:00,PROD_015,1,292.9
CMD_5092,2026-06-13T11:23:00,PROD_006,3,354.06
CMD_5097,2026-06-13T09:36:00,PROD_004,2,111.82
CMD_5098,2026-06-13T12:11:00,PROD_019,2,382.78
CMD_5099,2026-06-13T16:11:00,PROD_013,1,486.83
CMD_5100,2026-06-13T20:20:00,PROD_004,2,
CMD_5103,2026-06-13T20:04:00,PROD_010,2,110.9
CMD_5104,2026-06-13T16:20:00,PROD_004,1,55.91
CMD_5106,2026-06-14T15:17:00,PROD_016,3,1002.06
CMD_5107,2026-06-14T11:54:00,PROD_003,3,898.02
CMD_5109,2026-06-14T12:22:00,PROD_015,1,292.9
CMD_5110,2026-06-14T14:26:00,PROD_012,4,1621.96
CMD_5114,2026-06-14T13:49:00,PROD_017,3,1287.33
CMD_5116,2026-06-14T20:25:00,PROD_020,4,1415.56
CMD_5118,2026-06-14T19:27:00,PROD_017,4,1716.44
CMD_5119,2026-06-14T14:23:00,PROD_005,1,285.01
CMD_5120,2026-06-14T14:07:00,PROD_014,3,-841.5
CMD_5121,2026-06-15T20:42:00,PROD_018,4,584.84
CMD_5124,2026-06-15T10:01:00,PROD_011,1,425.27
CMD_5126,2026-06-15T17:51:00,PROD_011,4,1701.08
CMD_5127,2026-06-15T16:09:00,PROD_016,2,668.04
CMD_5130,2026-06-15T10:27:00,PROD_014,2,561.0
CMD_5136,2026-06-16T18:00:00,PROD_001,3,1120.08
CMD_5137,2026-06-16T20:28:00,PROD_020,1,353.89
CMD_5142,2026-06-16T20:26:00,PROD_005,3,855.03
CMD_5146,2026-06-16T18:15:00,PROD_008,4,1408.36
CMD_5150,2026-06-16T19:34:00,PROD_002,1,
CMD_5151,2026-06-17T15:16:00,PROD_004,3,167.73
CMD_5154,2026-06-17T12:59:00,PROD_001,1,373.36
CMD_5155,2026-06-17T10:05:00,PROD_001,2,746.72
CMD_5156,2026-06-17T10:53:00,PROD_002,4,313.48
CMD_5157,2026-06-17T17:11:00,PROD_017,3,1287.33
CMD_5158,2026-06-17T08:41:00,PROD_001,4,1493.44
CMD_5162,2026-06-17T18:52:00,PROD_004,4,223.64
CMD_5164,2026-06-17T14:30:00,PROD_011,1,425.27
CMD_5166,2026-06-18T18:54:00,PROD_012,3,1216.47
CMD_5169,2026-06-18T12:05:00,PROD_019,1,191.39
CMD_5170,2026-06-18T08:19:00,PROD_009,1,86.18
CMD_5171,2026-06-18T17:46:00,PROD_005,1,285.01
CMD_5176,2026-06-18T18:53:00,PROD_010,2,110.9
CMD_5177,2026-06-18T08:07:00,PROD_020,3,1061.67
CMD_5180,2026-06-18T08:40:00,PROD_014,4,1122.0
CMD_5183,2026-06-19T11:24:00,PROD_011,2,850.54
CMD_5188,2026-06-19T15:48:00,PROD_016,1,334.02
CMD_5190,2026-06-19T19:02:00,PROD_003,4,1197.36
CMD_5192,2026-06-19T13:45:00,PROD_007,1,406.62
CMD_5196,2026-06-20T20:07:00,PROD_009,1,86.18
CMD_5198,2026-06-20T16:35:00,PROD_010,1,55.45
CMD_5201,2026-06-20T09:25:00,PROD_005,1,285.01
CMD_5203,2026-06-20T10:23:00,PROD_005,4,1140.04
CMD_5204,2026-06-20T13:55:00,PROD_014,2,561.0
CMD_5206,2026-06-20T16:00:00,PROD_015,2,585.8
CMD_5207,2026-06-20T11:08:00,PROD_020,1,353.89
CMD_5209,2026-06-20T14:12:00,PROD_005,1,285.01
CMD_5210,2026-06-20T14:42:00,PROD_002,2,156.74
CMD_5211,2026-06-21T13:05:00,PROD_002,4,313.48
CMD_5212,2026-06-21T09:09:00,PROD_001,4,1493.44
CMD_5216,2026-06-21T14:06:00,PROD_010,1,55.45
CMD_5217,2026-06-21T09:46:00,PROD_012,4,1621.96
CMD_5218,2026-06-21T13:25:00,PROD_013,2,973.66
CMD_5220,2026-06-21T14:04:00,PROD_018,2,292.42
CMD_5224,2026-06-21T12:18:00,PROD_011,4,1701.08
CMD_5228,2026-06-22T15:12:00,PROD_012,3,1216.47
CMD_5229,2026-06-22T09:50:00,PROD_002,1,78.37
CMD_5231,2026-06-22T13:29:00,PROD_012,3,1216.47
CMD_5236,2026-06-22T15:22:00,PROD_003,3,898.02
CMD_5237,2026-06-22T16:23:00,PROD_018,3,438.63
CMD_5238,2026-06-22T09:17:00,PROD_008,3,1056.27
CMD_5240,2026-06-22T12:37:00,PROD_003,1,-299.34
CMD_5241,2026-06-23T13:19:00,PROD_017,2,858.22
CMD_5248,2026-06-23T08:51:00,PROD_003,4,1197.36
CMD_5249,2026-06-23T16:04:00,PROD_001,4,1493.44
CMD_5252,2026-06-23T19:28:00,PROD_011,3,1275.81
CMD_5254,2026-06-23T09:14:00,PROD_005,2,570.02
CMD_5258,2026-06-24T14:17:00,PROD_004,1,55.91
CMD_5266,2026-06-24T17:35:00,PROD_010,3,166.35
CMD_5267,2026-06-24T13:29:00,PROD_001,4,1493.44
CMD_5271,2026-06-25T11:46:00,PROD_017,2,858.22
CMD_5272,2026-06-25T13:41:00,PROD_018,2,292.42
CMD_5273,2026-06-25T12:21:00,PROD_018,4,584.84
CMD_5275,2026-06-25T15:05:00,PROD_018,3,
CMD_5276,2026-06-25T19:17:00,PROD_010,2,110.9
CMD_5284,2026-06-25T11:37:00,PROD_019,4,765.56
CMD_5285,2026-06-25T14:56:00,PROD_002,3,235.11
CMD_5287,2026-06-26T10:52:00,PROD_011,3,1275.81
CMD_5289,2026-06-26T14:41:00,PROD_013,2,973.66
CMD_5293,2026-06-26T14:51:00,PROD_006,3,354.06
CMD_5294,2026-06-26T11:21:00,PROD_008,3,1056.27
CMD_5295,2026-06-26T15:57:00,PROD_018,1,146.21
CMD_5300,2026-06-26T16:38:00,PROD_002,3,
CMD_5301,2026-06-27T16:09:00,PROD_003,1,299.34
CMD_5305,2026-06-27T16:13:00,PROD_013,3,1460.49
